"","exon.lengths","Gene"
"ENSRNOG00000000587",1502,"ENSRNOG00000000587"
"ENSRNOG00000000588",2481,"ENSRNOG00000000588"
"ENSRNOG00000000589",3079,"ENSRNOG00000000589"
"ENSRNOG00000000590",2229,"ENSRNOG00000000590"
"ENSRNOG00000000593",10689,"ENSRNOG00000000593"
"ENSRNOG00000000595",4936,"ENSRNOG00000000595"
"ENSRNOG00000000596",4156,"ENSRNOG00000000596"
"ENSRNOG00000000597",2509,"ENSRNOG00000000597"
"ENSRNOG00000000598",2344,"ENSRNOG00000000598"
"ENSRNOG00000000599",6051,"ENSRNOG00000000599"
"ENSRNOG00000000604",2216,"ENSRNOG00000000604"
"ENSRNOG00000000605",3043,"ENSRNOG00000000605"
"ENSRNOG00000000606",8540,"ENSRNOG00000000606"
"ENSRNOG00000000607",1047,"ENSRNOG00000000607"
"ENSRNOG00000000609",4602,"ENSRNOG00000000609"
"ENSRNOG00000000610",2070,"ENSRNOG00000000610"
"ENSRNOG00000000611",2095,"ENSRNOG00000000611"
"ENSRNOG00000000613",1500,"ENSRNOG00000000613"
"ENSRNOG00000000614",5694,"ENSRNOG00000000614"
"ENSRNOG00000000618",3236,"ENSRNOG00000000618"
"ENSRNOG00000000630",522,"ENSRNOG00000000630"
"ENSRNOG00000000632",1356,"ENSRNOG00000000632"
"ENSRNOG00000000633",5585,"ENSRNOG00000000633"
"ENSRNOG00000000634",1688,"ENSRNOG00000000634"
"ENSRNOG00000000635",4370,"ENSRNOG00000000635"
"ENSRNOG00000000636",4423,"ENSRNOG00000000636"
"ENSRNOG00000000638",4337,"ENSRNOG00000000638"
"ENSRNOG00000000640",2956,"ENSRNOG00000000640"
"ENSRNOG00000000641",1685,"ENSRNOG00000000641"
"ENSRNOG00000000645",4805,"ENSRNOG00000000645"
"ENSRNOG00000000648",10990,"ENSRNOG00000000648"
"ENSRNOG00000000653",1931,"ENSRNOG00000000653"
"ENSRNOG00000000655",14025,"ENSRNOG00000000655"
"ENSRNOG00000000657",4028,"ENSRNOG00000000657"
"ENSRNOG00000000658",8486,"ENSRNOG00000000658"
"ENSRNOG00000000661",3472,"ENSRNOG00000000661"
"ENSRNOG00000000662",1520,"ENSRNOG00000000662"
"ENSRNOG00000000663",4905,"ENSRNOG00000000663"
"ENSRNOG00000000664",1800,"ENSRNOG00000000664"
"ENSRNOG00000000665",3847,"ENSRNOG00000000665"
"ENSRNOG00000000691",2843,"ENSRNOG00000000691"
"ENSRNOG00000000692",1864,"ENSRNOG00000000692"
"ENSRNOG00000000693",3439,"ENSRNOG00000000693"
"ENSRNOG00000000695",8893,"ENSRNOG00000000695"
"ENSRNOG00000000697",3488,"ENSRNOG00000000697"
"ENSRNOG00000000699",6402,"ENSRNOG00000000699"
"ENSRNOG00000000700",2583,"ENSRNOG00000000700"
"ENSRNOG00000000701",924,"ENSRNOG00000000701"
"ENSRNOG00000000702",3660,"ENSRNOG00000000702"
"ENSRNOG00000000704",7824,"ENSRNOG00000000704"
"ENSRNOG00000000708",5378,"ENSRNOG00000000708"
"ENSRNOG00000000713",849,"ENSRNOG00000000713"
"ENSRNOG00000000715",2589,"ENSRNOG00000000715"
"ENSRNOG00000000716",1400,"ENSRNOG00000000716"
"ENSRNOG00000000718",4717,"ENSRNOG00000000718"
"ENSRNOG00000000720",2049,"ENSRNOG00000000720"
"ENSRNOG00000000726",3356,"ENSRNOG00000000726"
"ENSRNOG00000000728",1575,"ENSRNOG00000000728"
"ENSRNOG00000000729",3368,"ENSRNOG00000000729"
"ENSRNOG00000000746",2191,"ENSRNOG00000000746"
"ENSRNOG00000000759",954,"ENSRNOG00000000759"
"ENSRNOG00000000763",4422,"ENSRNOG00000000763"
"ENSRNOG00000000765",2689,"ENSRNOG00000000765"
"ENSRNOG00000000767",2828,"ENSRNOG00000000767"
"ENSRNOG00000000768",736,"ENSRNOG00000000768"
"ENSRNOG00000000774",5037,"ENSRNOG00000000774"
"ENSRNOG00000000775",1743,"ENSRNOG00000000775"
"ENSRNOG00000000777",2682,"ENSRNOG00000000777"
"ENSRNOG00000000778",3728,"ENSRNOG00000000778"
"ENSRNOG00000000779",888,"ENSRNOG00000000779"
"ENSRNOG00000000780",1643,"ENSRNOG00000000780"
"ENSRNOG00000000781",2198,"ENSRNOG00000000781"
"ENSRNOG00000000782",2331,"ENSRNOG00000000782"
"ENSRNOG00000000783",1005,"ENSRNOG00000000783"
"ENSRNOG00000000785",26519,"ENSRNOG00000000785"
"ENSRNOG00000000786",427,"ENSRNOG00000000786"
"ENSRNOG00000000795",2188,"ENSRNOG00000000795"
"ENSRNOG00000000796",10387,"ENSRNOG00000000796"
"ENSRNOG00000000798",6071,"ENSRNOG00000000798"
"ENSRNOG00000000799",3543,"ENSRNOG00000000799"
"ENSRNOG00000000800",5880,"ENSRNOG00000000800"
"ENSRNOG00000000801",3107,"ENSRNOG00000000801"
"ENSRNOG00000000802",5311,"ENSRNOG00000000802"
"ENSRNOG00000000804",1233,"ENSRNOG00000000804"
"ENSRNOG00000000805",5108,"ENSRNOG00000000805"
"ENSRNOG00000000808",2875,"ENSRNOG00000000808"
"ENSRNOG00000000809",4030,"ENSRNOG00000000809"
"ENSRNOG00000000811",1863,"ENSRNOG00000000811"
"ENSRNOG00000000814",1192,"ENSRNOG00000000814"
"ENSRNOG00000000815",1661,"ENSRNOG00000000815"
"ENSRNOG00000000818",4093,"ENSRNOG00000000818"
"ENSRNOG00000000823",6594,"ENSRNOG00000000823"
"ENSRNOG00000000824",4419,"ENSRNOG00000000824"
"ENSRNOG00000000825",1581,"ENSRNOG00000000825"
"ENSRNOG00000000826",3022,"ENSRNOG00000000826"
"ENSRNOG00000000827",1099,"ENSRNOG00000000827"
"ENSRNOG00000000831",1652,"ENSRNOG00000000831"
"ENSRNOG00000000833",4085,"ENSRNOG00000000833"
"ENSRNOG00000000838",1341,"ENSRNOG00000000838"
"ENSRNOG00000000839",1457,"ENSRNOG00000000839"
"ENSRNOG00000000840",1948,"ENSRNOG00000000840"
"ENSRNOG00000000841",1879,"ENSRNOG00000000841"
"ENSRNOG00000000842",1338,"ENSRNOG00000000842"
"ENSRNOG00000000846",686,"ENSRNOG00000000846"
"ENSRNOG00000000847",5096,"ENSRNOG00000000847"
"ENSRNOG00000000848",2056,"ENSRNOG00000000848"
"ENSRNOG00000000850",1375,"ENSRNOG00000000850"
"ENSRNOG00000000851",4245,"ENSRNOG00000000851"
"ENSRNOG00000000852",7489,"ENSRNOG00000000852"
"ENSRNOG00000000853",2013,"ENSRNOG00000000853"
"ENSRNOG00000000854",996,"ENSRNOG00000000854"
"ENSRNOG00000000855",517,"ENSRNOG00000000855"
"ENSRNOG00000000857",2656,"ENSRNOG00000000857"
"ENSRNOG00000000858",888,"ENSRNOG00000000858"
"ENSRNOG00000000860",4348,"ENSRNOG00000000860"
"ENSRNOG00000000861",2341,"ENSRNOG00000000861"
"ENSRNOG00000000866",3355,"ENSRNOG00000000866"
"ENSRNOG00000000867",4074,"ENSRNOG00000000867"
"ENSRNOG00000000869",3732,"ENSRNOG00000000869"
"ENSRNOG00000000871",937,"ENSRNOG00000000871"
"ENSRNOG00000000873",1453,"ENSRNOG00000000873"
"ENSRNOG00000000875",11561,"ENSRNOG00000000875"
"ENSRNOG00000000878",2371,"ENSRNOG00000000878"
"ENSRNOG00000000879",3166,"ENSRNOG00000000879"
"ENSRNOG00000000885",7031,"ENSRNOG00000000885"
"ENSRNOG00000000886",1226,"ENSRNOG00000000886"
"ENSRNOG00000000888",2396,"ENSRNOG00000000888"
"ENSRNOG00000000889",3759,"ENSRNOG00000000889"
"ENSRNOG00000000891",2418,"ENSRNOG00000000891"
"ENSRNOG00000000893",2789,"ENSRNOG00000000893"
"ENSRNOG00000000894",11869,"ENSRNOG00000000894"
"ENSRNOG00000000895",2875,"ENSRNOG00000000895"
"ENSRNOG00000000896",306,"ENSRNOG00000000896"
"ENSRNOG00000000897",2296,"ENSRNOG00000000897"
"ENSRNOG00000000900",1959,"ENSRNOG00000000900"
"ENSRNOG00000000901",3739,"ENSRNOG00000000901"
"ENSRNOG00000000902",5061,"ENSRNOG00000000902"
"ENSRNOG00000000903",2359,"ENSRNOG00000000903"
"ENSRNOG00000000904",4020,"ENSRNOG00000000904"
"ENSRNOG00000000905",1629,"ENSRNOG00000000905"
"ENSRNOG00000000906",2404,"ENSRNOG00000000906"
"ENSRNOG00000000907",934,"ENSRNOG00000000907"
"ENSRNOG00000000909",3806,"ENSRNOG00000000909"
"ENSRNOG00000000913",3046,"ENSRNOG00000000913"
"ENSRNOG00000000917",965,"ENSRNOG00000000917"
"ENSRNOG00000000918",2497,"ENSRNOG00000000918"
"ENSRNOG00000000920",1474,"ENSRNOG00000000920"
"ENSRNOG00000000921",5480,"ENSRNOG00000000921"
"ENSRNOG00000000922",1853,"ENSRNOG00000000922"
"ENSRNOG00000000923",2678,"ENSRNOG00000000923"
"ENSRNOG00000000924",6823,"ENSRNOG00000000924"
"ENSRNOG00000000925",1520,"ENSRNOG00000000925"
"ENSRNOG00000000926",1587,"ENSRNOG00000000926"
"ENSRNOG00000000931",3410,"ENSRNOG00000000931"
"ENSRNOG00000000934",4040,"ENSRNOG00000000934"
"ENSRNOG00000000936",2711,"ENSRNOG00000000936"
"ENSRNOG00000000937",2384,"ENSRNOG00000000937"
"ENSRNOG00000000938",2007,"ENSRNOG00000000938"
"ENSRNOG00000000940",6854,"ENSRNOG00000000940"
"ENSRNOG00000000942",8926,"ENSRNOG00000000942"
"ENSRNOG00000000952",786,"ENSRNOG00000000952"
"ENSRNOG00000000954",2023,"ENSRNOG00000000954"
"ENSRNOG00000000955",4910,"ENSRNOG00000000955"
"ENSRNOG00000000956",1397,"ENSRNOG00000000956"
"ENSRNOG00000000957",2700,"ENSRNOG00000000957"
"ENSRNOG00000000958",1113,"ENSRNOG00000000958"
"ENSRNOG00000000961",3258,"ENSRNOG00000000961"
"ENSRNOG00000000962",2742,"ENSRNOG00000000962"
"ENSRNOG00000000963",3810,"ENSRNOG00000000963"
"ENSRNOG00000000964",777,"ENSRNOG00000000964"
"ENSRNOG00000000967",3297,"ENSRNOG00000000967"
"ENSRNOG00000000968",5662,"ENSRNOG00000000968"
"ENSRNOG00000000969",1987,"ENSRNOG00000000969"
"ENSRNOG00000000973",1624,"ENSRNOG00000000973"
"ENSRNOG00000000974",2032,"ENSRNOG00000000974"
"ENSRNOG00000000975",2297,"ENSRNOG00000000975"
"ENSRNOG00000000977",7436,"ENSRNOG00000000977"
"ENSRNOG00000000978",8136,"ENSRNOG00000000978"
"ENSRNOG00000000981",2977,"ENSRNOG00000000981"
"ENSRNOG00000000983",2475,"ENSRNOG00000000983"
"ENSRNOG00000000985",3778,"ENSRNOG00000000985"
"ENSRNOG00000000986",4232,"ENSRNOG00000000986"
"ENSRNOG00000000987",3137,"ENSRNOG00000000987"
"ENSRNOG00000000988",2731,"ENSRNOG00000000988"
"ENSRNOG00000000989",1602,"ENSRNOG00000000989"
"ENSRNOG00000000990",2732,"ENSRNOG00000000990"
"ENSRNOG00000000991",2809,"ENSRNOG00000000991"
"ENSRNOG00000000993",602,"ENSRNOG00000000993"
"ENSRNOG00000000994",2983,"ENSRNOG00000000994"
"ENSRNOG00000000996",2736,"ENSRNOG00000000996"
"ENSRNOG00000000999",6317,"ENSRNOG00000000999"
"ENSRNOG00000001001",1331,"ENSRNOG00000001001"
"ENSRNOG00000001003",4032,"ENSRNOG00000001003"
"ENSRNOG00000001004",9150,"ENSRNOG00000001004"
"ENSRNOG00000001005",2029,"ENSRNOG00000001005"
"ENSRNOG00000001006",1906,"ENSRNOG00000001006"
"ENSRNOG00000001007",6329,"ENSRNOG00000001007"
"ENSRNOG00000001009",976,"ENSRNOG00000001009"
"ENSRNOG00000001010",4246,"ENSRNOG00000001010"
"ENSRNOG00000001017",1163,"ENSRNOG00000001017"
"ENSRNOG00000001027",777,"ENSRNOG00000001027"
"ENSRNOG00000001030",9577,"ENSRNOG00000001030"
"ENSRNOG00000001031",719,"ENSRNOG00000001031"
